Node	Time	ActivationDownPrice
35	8	91.78
35	9	105.79
35	10	82.95
35	11	76.41
35	12	66.83
35	13	62.95
35	14	59.27
35	15	52.79
35	16	51.94
35	17	50.94
35	18	50.83
35	19	47.25
35	20	46.42
35	21	45.73
35	22	46.37
35	23	43.74
35	24	43.37
36	1	28.85
36	2	28.58
36	3	28.47
36	4	29.21
36	5	28.6
36	6	29.08
36	7	30.29
36	8	43.08
36	9	46.29
36	10	44.16
36	11	43.88
36	12	42.21
36	13	40.36
36	14	34.36
36	15	33.16
36	16	30.95
36	17	31.34
36	18	32.48
36	19	32.56
36	20	33.26
36	21	32.58
36	22	31.86
36	23	31.03
36	24	30.32
37	1	41.5
37	2	38.0
37	3	32.5
37	4	31.0
37	5	32.5
37	6	45.18
37	7	57.79
37	8	79.44
37	9	98.15
37	10	91.65
37	11	81.71
37	12	69.39
37	13	66.37
37	14	65.11
37	15	81.6
37	16	77.81
37	17	106.71
37	18	80.0
37	19	80.0
37	20	125.11
37	21	111.9
37	22	100.53
37	23	87.77
37	24	54.77
38	1	53.31
38	2	52.32
38	3	51.41
38	4	50.37
38	5	51.82
38	6	53.94
38	7	55.24
38	8	59.61
38	9	61.3
38	10	59.36
38	11	56.0
38	12	54.47
38	13	54.0
38	14	53.99
38	15	55.27
38	16	57.49
38	17	58.18
38	18	58.27
38	19	57.87
38	20	56.34
38	21	54.94
38	22	54.49
38	23	53.62
38	24	53.59
39	1	39.0
39	2	39.0
39	3	38.88
39	4	38.74
39	5	38.69
39	6	38.91
39	7	45.81
39	8	49.29
39	9	50.3
39	10	47.3
39	11	38.0
39	12	35.0
39	13	35.0
39	14	34.5
39	15	33.5
39	16	33.5
39	17	40.03
39	18	40.5
39	19	58.75
39	20	41.0
39	21	41.0
39	22	41.24
39	23	37.92
39	24	36.42
40	1	37.34
40	2	37.04
40	3	36.8
40	4	36.92
40	5	36.0
40	6	36.0
40	7	36.0
40	8	102.84
40	9	173.26
40	10	147.83
40	11	139.0
40	12	120.77
40	13	101.69
40	14	60.72
40	15	69.79
40	16	60.77
40	17	70.26
40	18	59.25
40	19	62.58
40	20	48.26
40	21	43.98
40	22	41.42
40	23	40.66
40	24	37.52
41	1	87.02
41	2	84.32
41	3	81.82
41	4	80.63
41	5	79.04
41	6	82.1
41	7	94.3
41	8	111.22
41	9	121.11
41	10	120.73
41	11	113.9
41	12	105.54
41	13	97.84
41	14	93.0
41	15	102.46
41	16	91.18
41	17	90.0
41	18	132.31
41	19	130.01
41	20	122.12
41	21	114.21
41	22	99.85
41	23	97.08
41	24	88.83
42	1	61.84
42	2	55.79
42	3	53.69
42	4	54.29
42	5	55.93
42	6	64.13
42	7	86.06
42	8	114.74
42	9	134.23
42	10	162.35
42	11	159.25
42	12	162.09
42	13	141.86
42	14	150.13
42	15	168.91
42	16	183.47
42	17	187.78
42	18	162.76
42	19	140.11
42	20	129.35
42	21	106.22
42	22	88.3
42	23	67.14
42	24	59.47
43	1	53.52
43	2	52.58
43	3	52.23
43	4	51.82
43	5	48.0
43	6	48.0
43	7	48.0
43	8	53.32
43	9	85.66
43	10	54.5
43	11	53.0
43	12	53.0
43	13	53.52
43	14	51.42
43	15	51.79
43	16	54.81
43	17	55.93
43	18	66.77
43	19	65.53
43	20	55.65
43	21	52.57
43	22	51.54
43	23	50.53
43	24	43.0
44	1	58.94
44	2	57.98
44	3	48.0
44	4	48.0
44	5	55.74
44	6	56.46
44	7	57.66
44	8	59.0
44	9	50.0
44	10	50.0
44	11	45.0
44	12	46.0
44	13	45.99
44	14	44.61
44	15	40.96
44	16	42.47
44	17	46.46
44	18	52.46
44	19	55.13
44	20	50.0
44	21	44.0
44	22	40.22
44	23	42.0
44	24	45.0
45	1	31.47
45	2	28.62
45	3	19.22
45	4	18.0
45	5	15.0
45	6	15.0
45	7	17.0
45	8	26.81
45	9	27.0
45	10	26.81
45	11	26.82
45	12	26.82
45	13	31.45
45	14	24.5
45	15	22.0
45	16	22.0
45	17	22.0
45	18	22.0
45	19	18.5
45	20	16.5
45	21	16.5
45	22	16.5
45	23	17.0
45	24	10.0
46	1	41.57
46	2	41.11
46	3	40.78
46	4	40.78
46	5	41.25
46	6	44.78
46	7	49.61
46	8	61.01
46	9	108.2
46	10	90.3
46	11	75.53
